sire,total_runs,total_top3,top3_rate,win_rate,avg_distance,weighted_dist_sum,best_distance,best_dist_cat,win_return_pct,place_return_pct
ナダルNadal(米),530,191,0.360377358490566,0.15660377358490565,1577.5471698113208,300250,1572,mile,98.2,78.7
ケープブランコCape Blanco(英),529,90,0.17013232514177692,0.03780718336483932,1719.37618147448,160110,1779,mile,56.3,74.6
アポロキングダム,505,100,0.19801980198019803,0.05742574257425743,1532.2376237623762,144990,1450,mile,75.1,84.6
スズカコーズウェイ,491,116,0.23625254582484725,0.0835030549898167,1438.7780040733198,162550,1401,mile,117.6,87.6
アドマイヤマーズ,481,130,0.2702702702702703,0.12681912681912683,1604.7817047817048,208600,1605,mile,90.6,72.3
ミッキーロケット,463,95,0.20518358531317496,0.0734341252699784,1734.233261339093,170400,1794,mile,98.1,80.9
ウインブライト,458,93,0.20305676855895197,0.05021834061135371,1770.8515283842794,164400,1768,mile,59.6,86.4
フォーウィールドライブFour Wheel Drive(米),453,118,0.26048565121412803,0.0706401766004415,1349.5584988962473,156000,1322,sprint,55.7,80.5
ワークフォースWorkforce(英),452,85,0.18805309734513273,0.05309734513274336,1854.8893805309735,172320,2027,intermediate,82.5,77.3
エンパイアメーカーEmpire Maker(米),452,94,0.2079646017699115,0.05309734513274336,1683.8495575221239,157990,1681,mile,65.4,89.5
ベストウォーリア,439,77,0.17539863325740318,0.05011389521640091,1370.4555808656037,97550,1267,sprint,89.3,87.5
フィエールマン,435,117,0.2689655172413793,0.06666666666666667,1749.655172413793,212450,1816,intermediate,43.6,110.1
ローズキングダム,432,90,0.20833333333333334,0.05555555555555555,1859.1898148148148,173330,1926,intermediate,112.6,112.2
パドトロワ,418,54,0.1291866028708134,0.0430622009569378,1348.7081339712918,74000,1370,sprint,30.1,70.4
アニマルキングダムAnimal Kingdom(米),411,74,0.18004866180048662,0.043795620437956206,1657.250608272506,129930,1756,mile,45.4,86.2
トビーズコーナーToby's Corner(米),406,80,0.19704433497536947,0.06896551724137931,1596.256157635468,128410,1605,mile,186.9,110.3
ゴールドアクター,402,83,0.2064676616915423,0.05721393034825871,1740.0,150890,1818,intermediate,81.5,117.8
アンライバルド,398,41,0.10301507537688442,0.02763819095477387,1448.4924623115578,59650,1455,mile,106.6,76.4
ミスターメロディ,397,80,0.20151133501259447,0.07052896725440806,1387.9093198992443,104850,1311,sprint,83.3,99.5
Into Mischief,395,153,0.38734177215189874,0.16962025316455695,1502.2278481012659,221230,1446,mile,100.7,77.3
キングヘイロー,390,79,0.20256410256410257,0.05641025641025641,1825.923076923077,151500,1918,intermediate,98.3,102.3
タイムパラドックス,371,40,0.1078167115902965,0.018867924528301886,1653.3692722371968,68310,1708,mile,49.2,65.7
ゴールドドリーム,363,68,0.18732782369146006,0.06887052341597796,1476.3085399449035,105750,1555,mile,98.0,67.2
ナカヤマフェスタ,357,31,0.08683473389355742,0.036414565826330535,1959.047619047619,67190,2167,intermediate,119.0,76.7
タニノギムレット,356,38,0.10674157303370786,0.03089887640449438,1645.4213483146068,66060,1738,mile,63.5,64.3
ノーブルミッションNoble Mission(英),347,26,0.07492795389048991,0.01729106628242075,1620.2305475504322,41350,1590,mile,43.7,45.3
Speightstown(米),327,100,0.3058103975535168,0.11314984709480122,1326.6360856269114,127080,1271,sprint,76.2,83.8
タイキシャトル,325,37,0.11384615384615385,0.033846153846153845,1465.1692307692308,50430,1363,sprint,100.1,73.9
グラスワンダー,324,46,0.1419753086419753,0.04938271604938271,1697.3148148148148,80940,1760,mile,77.7,71.2
Tapit(米),319,93,0.29153605015673983,0.0877742946708464,1795.2664576802508,166760,1793,mile,66.1,75.9
カネヒキリ,310,44,0.14193548387096774,0.025806451612903226,1682.774193548387,75770,1722,mile,47.0,76.1
ネロ,304,61,0.20065789473684212,0.0625,1419.671052631579,87600,1436,mile,120.0,105.3
ケイムホームCame Home(米),299,27,0.0903010033444816,0.026755852842809364,1384.180602006689,38340,1420,mile,95.0,62.1
ヴァーミリアン,294,70,0.23809523809523808,0.05782312925170068,1775.4421768707482,117320,1676,mile,69.0,96.3
ホークビルHawkbill(米),280,31,0.11071428571428571,0.03214285714285714,1674.4642857142858,54400,1755,mile,88.0,81.1
ヤマカツエース,275,51,0.18545454545454546,0.05090909090909091,1678.8727272727272,86510,1696,mile,82.0,80.5
ショウナンカンプ,273,30,0.10989010989010989,0.040293040293040296,1312.4542124542124,41840,1395,sprint,59.0,53.0
トーホウジャッカル,272,53,0.1948529411764706,0.04044117647058824,1618.014705882353,85000,1604,mile,42.9,67.0
Justify(米),272,80,0.29411764705882354,0.11029411764705882,1590.625,125200,1565,mile,48.7,72.5
ダノンシャーク,267,33,0.12359550561797752,0.02247191011235955,1540.8988764044943,55270,1675,mile,49.0,76.5
サムライハート,265,40,0.1509433962264151,0.033962264150943396,1770.1509433962265,68020,1700,mile,66.0,88.9
アグネスデジタル,263,26,0.09885931558935361,0.026615969581749048,1567.7566539923955,42190,1623,mile,50.4,57.4
レッドスパーダ,255,55,0.21568627450980393,0.08235294117647059,1451.5686274509803,80300,1460,mile,119.9,106.2
ロジユニヴァース,253,39,0.1541501976284585,0.05533596837944664,1747.1146245059288,66750,1712,mile,99.7,63.6
ガルボ,247,48,0.19433198380566802,0.048582995951417005,1655.668016194332,82650,1722,mile,73.8,80.5
ハクサンムーン,244,46,0.1885245901639344,0.07377049180327869,1375.6147540983607,61100,1328,sprint,130.7,93.4
ディープスカイ,243,33,0.13580246913580246,0.0411522633744856,1622.5102880658437,56300,1706,mile,83.3,98.6
Kingman(英),231,59,0.2554112554112554,0.12987012987012986,1580.3030303030303,93600,1586,mile,61.3,63.0
アスカクリチャン,231,30,0.12987012987012986,0.03896103896103896,1613.7662337662337,45950,1532,mile,97.9,90.3
Dark Angel,220,64,0.2909090909090909,0.12272727272727273,1342.7272727272727,83700,1308,sprint,118.2,99.5
ミッキーグローリー,220,40,0.18181818181818182,0.05,1674.5454545454545,68100,1702,mile,28.2,91.4
Saxon Warrior(安平町),213,54,0.2535211267605634,0.0892018779342723,1676.9953051643192,91300,1691,mile,93.9,72.2
シビルウォー,203,28,0.13793103448275862,0.03940886699507389,1850.4433497536945,52500,1875,intermediate,144.5,113.2
フサイチセブン,201,40,0.19900497512437812,0.05472636815920398,1470.6467661691543,61100,1528,mile,90.5,83.0
Uncle Mo(米),198,68,0.3434343434343434,0.12121212121212122,1609.5959595959596,110800,1629,mile,54.8,87.8
ロードアルティマ,197,33,0.16751269035532995,0.03553299492385787,1383.756345177665,46100,1397,sprint,89.8,73.0
ワンアンドオンリー,193,47,0.24352331606217617,0.06735751295336788,1961.8134715025906,100130,2130,intermediate,80.9,93.9
アーネストリー,193,25,0.12953367875647667,0.046632124352331605,1500.3626943005181,38510,1540,mile,173.5,92.4
ウインバリアシオン,190,33,0.1736842105263158,0.06315789473684211,1708.9473684210527,58500,1773,mile,61.3,84.6
アドミラブル,185,17,0.0918918918918919,0.016216216216216217,1652.7027027027027,27400,1612,mile,13.6,49.0
Hard Spun(米),183,30,0.16393442622950818,0.04371584699453552,1546.120218579235,43350,1445,mile,27.8,65.7
Arrogate(米),179,58,0.3240223463687151,0.1564245810055866,1778.7709497206704,103000,1776,mile,111.6,83.2
フレンチデピュティFrench Deputy(米),178,19,0.10674157303370786,0.028089887640449437,1705.5056179775281,30290,1594,mile,35.4,54.6
スズカフェニックス,172,24,0.13953488372093023,0.06395348837209303,1618.8953488372092,42990,1791,mile,80.5,56.2
ニホンピロアワーズ,169,28,0.16568047337278108,0.07692307692307693,1625.5621301775147,47100,1682,mile,173.0,104.9
