phase,par_blend,ability_bias_sec,transfer_strength,mae,score,w_surface_only,w_distance_only,w_both
1,0.25,0.0,0.5,25.713475975975975,25.84933151045499,,,
1,0.25,0.0,1.0,25.713475975975975,25.84933151045499,,,
1,0.25,0.0,1.0,25.893868868868868,26.04916427723557,,,
1,0.25,0.0,0.5,25.893868868868868,26.04916427723557,,,
1,0.25,0.0,0.0,25.893868868868868,26.04916427723557,,,
1,0.25,0.0,0.0,26.033633633633634,26.189810211823897,,,
1,0.25,0.0,0.5,26.033633633633634,26.189810211823897,,,
1,0.25,0.0,1.0,26.033633633633634,26.189810211823897,,,
1,0.25,-0.5,1.0,26.73873873873874,26.876197959175077,,,
1,0.25,-0.5,0.5,26.73873873873874,26.876197959175077,,,
1,0.25,-0.5,0.0,26.73873873873874,26.876197959175077,,,
1,0.25,2.0,0.5,26.868781281281283,26.99571629226033,,,
1,0.25,2.0,1.0,26.868781281281283,26.99571629226033,,,
1,0.25,2.0,0.0,26.868781281281283,26.99571629226033,,,
1,0.25,-0.5,0.0,26.917692692692693,27.07492569495568,,,
1,0.25,-0.5,0.5,26.917692692692693,27.07492569495568,,,
1,0.25,-0.5,1.0,26.917692692692693,27.07492569495568,,,
1,0.25,2.0,1.0,26.93367117117117,27.0809953803718,,,
1,0.25,2.0,0.5,26.93367117117117,27.0809953803718,,,
1,0.25,2.0,0.0,26.93367117117117,27.0809953803718,,,
1,0.25,2.0,0.0,27.04259259259259,27.192502551505775,,,
1,0.25,2.0,1.0,27.04259259259259,27.192502551505775,,,
1,0.25,2.0,0.5,27.04259259259259,27.192502551505775,,,
1,0.25,-0.5,1.0,27.03484734734735,27.193321992997294,,,
1,0.25,-0.5,0.0,27.03484734734735,27.193321992997294,,,
1,0.25,-0.5,0.5,27.03484734734735,27.193321992997294,,,
1,0.25,-1.0,0.0,28.129642142142142,28.26966885397556,,,
1,0.25,-1.0,0.5,28.129642142142142,28.26966885397556,,,
1,0.25,-1.0,1.0,28.129642142142142,28.26966885397556,,,
1,0.25,-1.0,0.5,28.290352852852852,28.450615880219303,,,
1,0.25,-1.0,0.0,28.290352852852852,28.450615880219303,,,
1,0.25,-1.0,1.0,28.290352852852852,28.450615880219303,,,
1,0.25,-1.0,1.0,28.406794294294293,28.569759984849455,,,
1,0.25,-1.0,0.5,28.406794294294293,28.569759984849455,,,
